user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
dmyqb7SQV8gQoDYGzZfQ6x,Financial Accounting Theory and Analysis: Text and Cases| 12th Edition: Text and Cases| Edition 12,Richard G. Schroeder,Wiley Global Education,9781119299349,English,5,0
jrNrp3NaHU7mu68AJfyWVH,Financial Accounting Theory,Craig Deegan,McGraw-Hill Education Australia,9781743074626,English,3,4.7
QPo3B5zXKGidMntLuCMnWB,The Financial System and the Economy,Maureen Burton,M.E. Sharpe,9780765628053,English,1,0
4XUosbyUy2jBP4oHZFriio,Financial Institutions| Instruments and Markets| 8th edition,Christopher Viney,McGraw-Hill Education Australia,9781743764848,English,5,1.7
2mwEqJEZuvzVTFoigbjXLa,Time Series and Panel Data Econometrics,M. Hashem Pesaran,OUP Oxford,9780191056703,English,1,0
GVrcssHhgopoSjoHrzHQbS,International Financial Management: Edition 3,Geert Bekaert,Cambridge University Press,9781108547154,English,2,0
igM6RywEn4gpzRdMZfiYEK,Implementing ISO/IEC 17025:2017| Second Edition,Bob Mehta,Quality Press,9780873899802,English,3,0
mLBbK7c9APmYxcNYia2fSd,The xVA Challenge: Counterparty Credit Risk| Funding| Collateral and Capital| Edition 3,Jon Gregory,John Wiley & Sons,9781119109426,English,1,0
b7cVZttuiFZQp4QJNMnCbC,The Controller's Function,Steven M. Bragg,John Wiley & Sons,9781118001431,English,0,0
a4fph7AuiBob73aSY46sko,The Dark Side of Valuation: Valuing Young| Distressed| and Complex Businesses| Edition 2,Aswath Damodaran,FT Press,9780137036554,English,9,4.4
3KRfuVCFpXNwydgeejfqWn,Quantitative Value: A Practitioner's Guide to Automating Intelligent Investment and Eliminating Behavioral Errors,Wesley R. Gray,John Wiley & Sons,9781118416556,English,8,4.5
Syjm3eQmEYgP4cDpc44SXH,Advanced Accounting| 6th Edition: Edition 6,Debra C. Jeter,Wiley Global Education,9781119045946,English,7,1.0
Q5Q7ZCR8PYg5947WL8KmKh,Inventory Best Practices: Edition 2,Steven M. Bragg,John Wiley & Sons,9781118025864,English,3,3.0
GPVJcEkFqtbL9WriGooQgU,Multinational Finance: Evaluating the Opportunities| Costs| and Risks of Multinational Operations| Edition 6,Kirt C. Butler,John Wiley & Sons,9781119219712,English,5,3.0
EYGpU9iZsKwi2uuUMquSYD,Handbook of Basel III Capital: Enhancing Bank Capital in Practice,Juan Ramirez,John Wiley & Sons,9781119330899,English,7,0
jeU5axrn9qVWb3rZ9tUGRb,Reforming Pensions: Principles and Policy Choices,Nicholas Barr,Oxford University Press,9780199885992,English,8,0
GBtkJcDbfeWifP7oSd4pvW,Economics and Cost Analysis for Operations and Project Managers,Dr. Mahmoud Al-Odeh,Rylan Books,9781607978657,English,8,0
6AH6Dv8RcdF6jrL72E9RUv,Implementing Enterprise Risk Management: From Methods to Applications,James Lam,John Wiley & Sons,9781118235362,English,4,0
CXXinRmaZLbMxVqcKsFqat,Evidence-Based Technical Analysis,David Aronson,John Wiley & Sons,9781118160589,English,8,3.0
h4kUyAPusoVuwYBfo8yAjj,Credit Risk Analytics: Measurement Techniques| Applications| and Examples in SAS,Bart Baesens,John Wiley & Sons,9781119278344,English,6,0
7Bkh3ceEXXs8HdEEX4VHov,Introduction to Finance: Markets| Investments| and Financial Management| 16th Edition: Markets| Investments| and Financial Management| Edition 16,Ronald W. Melicher,Wiley Global Education,9781119302063,English,0,2.0
4tAEtMt9xyTPPXCAapqYUY,Mastering Private Equity: Transformation via Venture Capital| Minority Investments and Buyouts,Claudia Zeisberger,John Wiley & Sons,9781119327981,English,9,0
mGGUKGSeW3Y8ZbCXQNhbBo,Markets in Profile,James F. Dalton,John Wiley & Sons,9781118044643,English,7,0
chnsDTcEuTvCTMvoa7xNzv,Entrepreneurial Finance: Strategy| Valuation| and Deal Structure,Janet Kiholm Smith,Stanford University Press,9780804777582,English,1,0
kLPsXgspfgNFF2ETChfV5q,Governmental and Nonprofit Financial Management,Charles K. Coe PhD,Berrett-Koehler Publishers,9781567263916,English,9,0
iipCuuLAv5ye3byC7vt5VY,Financial Accounting: A Practical Approach: Edition 3,Suellen Freeman,Pearson Higher Education AU,9781442539709,English,6,1.0
2LLEeydkzDXwR8eNBhRvac,Implementing Enterprise Risk Management: Case Studies and Best Practices,John Fraser,John Wiley & Sons,9781118746189,English,2,0
QYrJ6ZhP2WzCwQ6uakCAv4,The Procurement and Supply Manager's Desk Reference: Edition 2,Fred Sollish,John Wiley & Sons,9781118238493,English,2,0
V6RPbAGUhF9ZRcvgbRHJBR,The New CFO Financial Leadership Manual,Steven M. Bragg,John Wiley & Sons,9780470918401,English,1,4.2
S69tYarhtRyAvzvpcQGcEo,Financial Decisions and Markets: A Course in Asset Pricing,John Y. Campbell,Princeton University Press,9781400888221,English,6,0
7hYYimMDuBCzFSK45cLu2V,Fixed-Income Securities: Valuation| Risk Management and Portfolio Strategies,Lionel Martellini,John Wiley & Sons,9780470868225,English,7,5.0
45AcqspQZFHCHCwq5c32JG,Advanced Swing Trading,John Crane,John Wiley & Sons,9780471481386,English,9,4.7
CBJSoSGxc6kZeF2S6q9cBH,A History of Greek Art,Mark D. Stansbury-O'Donnell,John Wiley & Sons,9781118839454,English,3,0
ZFsESgjoTJb3x2KuBrNme9,A Short History of the Ancient World,Nicholas K. Rauh,University of Toronto Press,9781442603875,English,9,0
fEibakWACQMowQ63bE5jew,The Art Business,Iain Robertson,Routledge,9781134222421,English,8,0
QZ3U5KpVpXZYabY7mXXZCt,Physics in the Arts: Edition 3,Pupa U.P.A. Gilbert,Academic Press,9780128243480,English,1,0
PjmqpZ4Q3hAMgVpT4Deh3X,The World According to Snoopy Volume Two,Charles M. Schulz,Open Road Media,9781504050784,English,4,5.0
XqjUT5zSkFFtjoa8BiiiDc,Gardner's Art through the Ages:The Western Perspective| Volume I: Volume 1| Edition 15,Fred S. Kleiner,Cengage Learning,9781305890381,English,6,0
Q6K5LHboxWSoTAP7j4GQka,Gardner's Art through the Ages: The Western Perspective| Volume II: Volume 2| Edition 15,Fred S. Kleiner,Cengage Learning,9781305854710,English,9,0
KiSpchSNSe9vGLi8yLvodf,Black Acting Methods: Critical Approaches,Sharrell Luckett,Routledge,9781317441212,English,2,0
P5RFVNmyFZkSmmmmFTnrMS,Wine Grapes: A Complete Guide to 1|368 Vine Varieties| Including Their Origins and Flavours,Jancis Robinson,Harper Collins,9780062325518,English,9,3.9
VJEuVphvYeKkx6iTdNcaJ9,Design Basics: Edition 9,Stephen Pentak,Cengage Learning,9781305464933,English,7,0
KnJyanmH2HQS6veeazW2Lf,FORCE: Dynamic Life Drawing: 10th Anniversary Edition| Edition 3,Mike Mattesi,CRC Press,9781317419211,English,1,5.0
WUhdcYguqKjUVsvRBZNEhv,Understanding Art: Edition 11,Lois Fichner-Rathus,Cengage Learning,9781305890329,English,8,5.0
n8ttb3zuXryEAZUeV4YTma,Egypt| Greece| and Rome: Civilizations of the Ancient Mediterranean| Edition 3,Charles Freeman,OUP Oxford,9780191509704,English,0,0
X4TvNLAX2AkShC72K9vP4v,Concrete Construction Manual,Friedbert Kind-Barkauskas,Walter de Gruyter,9783955531638,English,7,0
RKuisYPeuvE5JaADhf45az,Tokyo Cyberpunk: Posthumanism in Japanese Visual Culture,Steven T. Brown,Springer,9780230110069,English,6,0
h9mTu5Bm2xrHq48kRyzPm9,AK8000 - DIORAMAS F.A.Q. (English),,AK-INTERACTIVE| S.L.,,English,3,4.3
23cvGXWbKmwa4zpjnajfqD,Collage and Architecture,Jennifer A.E. Shields,Routledge,9781134681617,English,3,0
SLSaVgRQWUa68hQtx6CWKg,Museum Gallery Interpretation and Material Culture,Juliette Fritsch,Routledge,9781135767952,English,4,5.0
VZGyv8w8uQYaUNuWjqp8pP,The Art of City Sketching: A Field Manual,Michael C. Abrams,Routledge,9781136665455,English,2,3.0
ioEyWbnjGL6ZqhmidokHFh,At Home with the Sapa Inca: Architecture| Space| and Legacy at Chinchero,Stella Nair,University of Texas Press,9781477305508,English,8,0
oG7ooV7SdGxyFBYokcMwiR,Permanent Make Up for Lips: for professional technician,Anna Savina,Anna Savina LLC,,English,3,4.3
jRXgLnKNxjtgdvTvCdN8uW,The Expert versus the Object: Judging Fakes and False Attributions in the Visual Arts,Ronald D. Spencer,Oxford University Press,9780195349030,English,0,3.0
CFGkoYkR3vMRqQy3DoNjsB,Artificial Intelligence for Games: Edition 2,Ian Millington,CRC Press,9780080885032,English,3,4.2
PtwFGcqB4oiQyrnpHR9MGx,Strategic Management in the Arts,Lidia Varbanova,Routledge,9781136302442,English,5,4.0
9mPFzk2fnRisgSakBXAbqP,American Film and Society Since 1945| 5th Edition: Edition 5,Leonard Quart,ABC-CLIO,9781440833229,English,4,0
GEwyd377Nre8HXmBJBQB9u,Marketing for Cultural Organizations: New Strategies for Attracting Audiences - third edition,Bonita M. Kolb,Routledge,9781136239526,English,1,0
5RH92Wmps2k3RZ7aqSQUia,Pedestrian Bridges: Ramps| Walkways| Structures,Andreas Keil,Walter de Gruyter,9783955531478,English,2,0
BbM3h3p9fZ6mXubhfW4xnM,The Oxford Handbook of Synesthesia,Julia Simner,OUP Oxford,9780191663437,English,8,0
kkhjzoTv6GNyKWioc992pG,Gardner's Art through the Ages: A Global History: Edition 15,Fred S. Kleiner,Cengage Learning,9781305544840,English,5,3.0
QVgGhg8jzpPNbdNQEwDYXq,Real-Time Collision Detection,Christer Ericson,CRC Press,9780080474144,English,1,3.0
HcwyfRc2wraVYgszmc9NXA,A Companion to Renaissance and Baroque Art,Babette Bohn,John Wiley & Sons,9781118391518,English,2,0
gQHDZQe8BJjXJDbURy5s3o,Gardner's Art through the Ages: A Concise Western History: Edition 4,Fred S. Kleiner,Cengage Learning,9781305890374,English,5,0
WsfYP86DHWuBMijsfqpw5P,PANTHER External Appearance & Design Changes,,AK-INTERACTIVE| S.L.,,English,0,0
2xBSMfGTUYtxH9FzdsiRt7,Art and Agency: An Anthropological Theory,Alfred Gell,Clarendon Press,9780191512155,English,6,0
FFBoUCLRwKUNbQBXSyxoex,Gardner's Art through the Ages: A Global History| Volume I: Volume 1| Edition 15,Fred S. Kleiner,Cengage Learning,9781305544864,English,3,0
KkjKhgXSqE7ySosrQZGm6v,Gender| Sexuality and Museums: A Routledge Reader,Amy K. Levin,Routledge,9781136943638,English,7,0
A4RAsNQwb2N8aKrsr6uL6N,Game Physics Engine Development: How to Build a Robust Commercial-Grade Physics Engine for your Game| Edition 2,Ian Millington,CRC Press,9780123819772,English,0,4.0
ZXuNuXMxzY2NcSb5bU259W,Game Feel: A Game Designer's Guide to Virtual Sensation,Steve Swink,CRC Press,9781482267334,English,1,0
FysiAMpCam5KCrZPF8ZhWe,Photography: The Key Concepts,David Bate,Berg,9781847883803,English,1,5.0
nSnMsdyAhYdnaiad3CAR7i,An Introduction to Nineteenth-Century Art,Michelle Facos,Routledge,9781136840708,English,0,4.0
SPZNoSd3MvZ3DARxaKi8TX,Theorizing Bruce Lee,Paul Bowman,Rodopi,9789042027770,English,3,4.6
bTjoo8kR9rh5dVoQdGFqYs,3D Game Engine Design: A Practical Approach to Real-Time Computer Graphics| Edition 2,David Eberly,CRC Press,9781482267303,English,2,4.0
Z3uGUUXSGvFexabpdJpjSQ,Foundations of Art and Design: Edition 2,Lois Fichner-Rathus,Cengage Learning,9781305176829,English,5,3.0
LW4UdvcgtQjqpv5AfzGEdg,Introduction to Cinematography: Learning Through Practice,Tania Hoser,Routledge,9781315305301,English,9,0
HjA29pn5XAFaLU27hTFLeg,Maya Python for Games and Film: A Complete Reference for the Maya Python API,Adam Mechtley,CRC Press,9780123785794,English,4,0
aFQv5MSCFFxtQPVc3ausHZ,The Dancer Defects: The Struggle for Cultural Supremacy during the Cold War,David Caute,OUP Oxford,9780191554582,English,4,5.0
DxYanuyJH3Yji224p8oW3C,Creating Desired Futures: How Design Thinking Innovates Business,Michael Shamiyeh,Walter de Gruyter,9783034611398,English,3,0
nFXmhQLEvLqeHkrYBBoqsg,Cosmopolitan Canvases: The Globalization of Markets for Contemporary Art,Olav Velthuis,OUP Oxford,9780191027543,English,0,0
CzVbkpHvmHAQFEewstvWCz,Textual Poachers: Television Fans and Participatory Culture| Edition 2,Henry Jenkins,Routledge,9781136290718,English,7,5.0
37ZjYDJLraRoMuRNhkkuxb,Art and Its Publics: Museum Studies at the Millennium,Andrew McClellan,John Wiley & Sons,9780470776711,English,7,0
JXCcMmifznUYzJwMKJhRFj,Assessment for Teaching: Edition 2,Patrick Griffin,Cambridge University Press,9781108565837,English,8,5.0
GKqaNKVRPpoSDKHrzSKKHS,Learning Theories in Childhood: Edition 2,Colette Gray,SAGE,9781473933781,English,6,5.0
jPu8DELPjvfNZ7gbwQBp7C,Classroom Behaviour: A Practical Guide to Effective Teaching| Behaviour Management and Colleague Support| Edition 4,Bill Rogers,SAGE,9781473918283,English,9,5.0
69TqV6c7qd7avfaQr9SL6A,Controversy in the Classroom: The Democratic Power of Discussion,Diana E. Hess,Routledge,9781135897345,English,8,0
QRDBzmsHq3mw6zStA48nXv,A Handbook for Supplementary Aids and Services: A Best Practice and IDEA Guide "to Enable Children with Disabilities to be Educated with Nondisabled Children to the Maximum Extent Appropriate",Edward Burns,Charles C Thomas Publisher,9780398073435,English,1,4.0
ae8xkJNBYqDfq2F3bev5g6,Dynamic Physical Education for Elementary School Children: Edition 19,Robert P. Pangrazi,Human Kinetics,9781492590286,English,9,0
KxxGpiBmZmsAikvFisftiH,Visible Learning and the Science of How We Learn,John Hattie,Routledge,9781134643189,English,6,3.0
5zEpavbiLUw9F3kHYdXXp5,Understanding Sociological Theory for Educational Practices: Edition 2,Tania Ferfolja,Cambridge University Press,9781108395335,English,8,0
fBeuPCgfNAFVSfHPGQxuyx,Teaching Children and Adolescents Physical Education: Edition 4,George Graham,Human Kinetics,9781492585572,English,6,0
PhWWXEoAAfaBKw3oyu9VGX,Mathematics Explained for Primary Teachers: Edition 6,Derek Haylock,SAGE,9781526454485,English,2,0
Ce9bH3yN7tZyNTozTp2Cig,Cooperative Learning: Integrating Theory and Practice,Robyn M. Gillies,SAGE,9781452236292,English,9,5.0
CGUDmJbYiD4HeFJRxULGYV,The Jossey-Bass Reader on Educational Leadership: Edition 3,Margaret Grogan,John Wiley & Sons,9781118621509,English,0,5.0
GnSiNb79ZdBmxcCqzrEFYQ,Cooperative Learning in the Classroom: Putting it into Practice,Wendy Jolliffe,SAGE,9781848608474,English,5,4.5
Tm3reUnPfRnyHiQyXfajpk,Enriching the Lives of Children: Creating Meaningful and Novel Stimulus Experiences to Promote Cognitive| Moral and Emotional Development,Rosalyn M. King,Cambridge Scholars Publishing,9781443802741,English,9,0
ij7y7dgqPqhWZMN8Uo5xuU,Working Memory and Learning: A Practical Guide for Teachers,Susan Gathercole,SAGE,9781446200155,English,6,0
h6EgnDNb8w2VgBib9zV22i,How Students Learn: History| Mathematics| and Science in the Classroom,National Research Council,National Academies Press,9780309133036,English,7,5.0
aZq6HRQLYubZPgLUmdfnMW,Child and Adolescent Life Stories: Perspectives from Youth| Parents| and Teachers,Katherine H. Voegtle,SAGE Publications,9781506320854,English,4,0
bU7egbGcYMbrv5uUzutDzG,How Students Learn: Science in the Classroom,National Research Council,National Academies Press,9780309133234,English,9,0
i4WY3xpkuJbvBznSufkd7x,Aboriginal and Torres Strait Islander Education: An Introduction for the Teaching Profession,Kaye Price,Cambridge University Press,9781139627634,English,2,5.0
eHNCXbR46cGets5of2TrmA,Building on Student Diversity: Profiles and Activities,Joy R. Cowdery,SAGE Publications,9781483316925,English,3,3.5
WuwbKYFDxKqoTAjGqtiVDT,Early Numeracy: Assessment for Teaching and Intervention| Edition 2,Robert J Wright,SAGE,9781446203958,English,3,4.5
AnNsHpE2kG34SNhBkQmcxu,Developing Active Learning in the Primary Classroom,Anitra Vickery,SAGE,9781446287217,English,0,0
GG3cdVj8YrWfkeUnfMPzhi,Physical Best: Physical Education for Lifelong Fitness and Health| Edition 4,Jackie Conkle,Human Kinetics,9781492589761,English,4,0
5p9uXCDs6Fd4AKDgKKzB2M,Developing Assessments for the Next Generation Science Standards,National Research Council,National Academies Press,9780309289542,English,3,4.7
moLMGHywQUuo7uZJyJo5ri,Mobile Learning: A Handbook for Developers| Educators| and Learners,Scott McQuiggan,John Wiley & Sons,9781118938959,English,5,0
2Jx5EWPEUVmFxuQyDATMz6,Best Practices in Literacy Instruction| Sixth Edition: Edition 6,Lesley Mandel Morrow,Guilford Publications,9781462536825,English,2,0
8dNfgLwtzCgedVPvaYY7nn,Visible Learning for Teachers: Maximizing Impact on Learning,John Hattie,Routledge,9781136592324,English,3,3.8
GHhg9ogZieCvCK5xMf7zte,Teaching Science in the Primary Classroom,Judith Roden,SAGE,9781847873774,English,6,0
eH59rpBWFDC5fFx3YquNUK,Understanding Sociological Theory for Educational Practices,Tania Ferfolja,Cambridge University Press,9781316334836,English,0,5.0
9uBe85xSyjWxdZgzdg8zRn,Early Childhood Education: Becoming a Professional,Kimberly A. Gordon Biddle,SAGE Publications,9781483320687,English,0,0
4FYFwq3zEVmVqHCdiKStWW,Teaching and Learning STEM: A Practical Guide,Richard M. Felder,John Wiley & Sons,9781118925829,English,0,0
GHPiHGkDLRaSw3426hy92k,The Hundred Languages of Children: The Reggio Emilia Approach--advanced Reflections,Carolyn P. Edwards,Greenwood Publishing Group,9781567503111,English,8,5.0
T487Ve2EC78s4bypf44FeM,What English Language Teachers Need to Know Volume III: Designing Curriculum,MaryAnn Christison,Routledge,9781135098575,English,6,0
HR8czJKFFWsyKdA3qYqiZt,Handbook of Research on Student Engagement,Sandra L. Christenson,Springer Science & Business Media,9781461420187,English,5,0
ftgkMWXakL5YqSFEChv7as,Dialects in Schools and Communities: Edition 2,Carolyn Temple Adger,Routledge,9781135554873,English,7,0
J4esozXsZoJi2UgnaKu8V3,Teacher Education Yearbook XXIV: Establishing a Sense of Place for All Learners in 21st Century Classrooms and Schools,LeAnn G. Putney,Rowman & Littlefield,9781475824582,English,2,0
FUDophmBBJpB9KdmNRRgHM,Language| Culture| and Community in Teacher Education,Maria Estela Brisk,Routledge,9781135155230,English,5,0
DCiyig9ujpiFh3gAsYgXsp,Minority Students in Special and Gifted Education,National Research Council,National Academies Press,9780309170819,English,3,0
kJa2DbuVVfXBtGcVEnEL5k,Developmental and Educational Psychology for Teachers: An applied approach| Edition 2,Dennis McInerney,Taylor & Francis,9781317365662,English,1,0
GRFt7ViYqN5GoQXHMKx9aq,Taking Science to School: Learning and Teaching Science in Grades K-8,National Research Council,National Academies Press,9780309133838,English,6,0
CNzoiMprMUCT87cMpuAiPv,Technology-enabled Mathematics Education: Optimising Student Engagement,Catherine Attard,Routledge,9781351189378,English,4,0
YsKkNQhjRNGkd9WuXDZDsu,Learning to Teach: A Critical Approach to Field Experiences| Edition 2,Natalie G. Adams,Routledge,9781135602574,English,0,5.0
6zhGAiCupFUzVuQDr9if5B,Teaching Number in the Classroom with 4-8 Year Olds: Edition 2,Robert J Wright,SAGE,9781473908758,English,5,0
PqjGhhQrsLmmBothEcFFBf,Beyond Classical Pedagogy: Teaching Elementary School Mathematics,Terry Wood,Routledge,9781135658717,English,7,0
aDKGGgpX3oJpemZtMpMHvF,Narrative Inquiry in Early Childhood and Elementary School: Learning to Teach| Teaching Well,Stephanie Sisk-Hilton,Routledge,9781317409038,English,2,0
mLnVGcKcMUdn8DcZuB8r53,STEM in Early Childhood Education: How Science| Technology| Engineering| and Mathematics Strengthen Learning,Lynn E. Cohen,Routledge,9780429843655,English,4,0
a9kcLKv3Pcn9WLkDRh3WGv,Dynamic Physical Education for Secondary School Students: Edition 9,Timothy A. Brusseau,Human Kinetics,9781492591108,English,0,0
fBMZDGhuYQ63Q39kzKowBr,Tangled Up in School: Politics| Space| Bodies| and Signs in the Educational Process,Jan Nespor,Routledge,9781135458850,English,0,0
QvF2CPEjqC5gJSWZH9Z2HQ,Thinking Critically About Environments for Young Children: Bridging Theory & Practice,Lisa P. Kuh,Teachers College Press,9780807773086,English,4,0
PJ2SYwUsXyoXEtSPQ5pkTi,Schools| Classrooms| and Pupils: International Studies of Schooling from a Multilevel Perspective,Stephen W. Raudenbush,Academic Press,9781483219813,English,8,0
VfFsds6DdWRFS8aX9X5xeq,Official Guide to the TOEFL Test with Downloadable Tests| Fifth Edition: Edition 5,Educational Testing Service,McGraw Hill Professional,9781260011227,English,2,1.8
BEgTvKxDeqMREi8KCXyKx7,Band 9 - IELTS Writing Task 2 - Real Tests,Nathan Dixon,Nathan Dixon,,English,6,4.2
6npcFjqDsrCHb7cc5s4ANU,The Art of Writing About Art: Edition 2,Suzanne Hudson,Cengage Learning,9781305179905,English,5,0
EzgkGy6LEpNSywEp6AZwZM,English Grammar for Today: A new introduction,Geoffrey N. Leech,Macmillan International Higher Education,9781349168781,English,6,4.2
AcqgtqgSosGrYajyVUM9R3,The best preparation for IELTS: Writing academic module band 9,Ryan Wright,Ryan Wright,,English,6,4.8
JhPVgHPdr7rn4W6Dkqninq,A Place to Stand,Jimmy Santiago Baca,Open Road + Grove/Atlantic,9781555848903,English,7,4.6
DgBTyh24UKzBQfvBQigPZc,The Meaning of Mariah Carey,Mariah Carey,Andy Cohen Books,9781250164698,English,1,4.8
SehNXXwoBHYJnSjftUmSuY,Hildegard von Bingen's Physica: The Complete English Translation of Her Classic Work on Health and Healing,,Simon and Schuster,9781594777752,English,2,5.0
6w27K4PvLqVFkJCVRHRJPW,Writing for Science Students,Jennifer Boyle,Macmillan International Higher Education,9781137571526,English,7,0
PUYE4Mc5xehiw47kd68V97,Integrated Korean: Beginning 2| Third Edition,Young-mee Cho,University of Hawaii Press,9780824889265,English,7,0
ZYCu2yh67n4PN2tbQcKL2m,"Wide Sargasso Sea" by Jean Rhys as a postcolonial response to "Jane Eyre" by Charlotte Bronte,Malgorzata Swietlik,GRIN Verlag,9783640896264,English,3,1.3
C5N4XootkTYKJewbVNTKEt,Rhetorics| Poetics| and Cultures: Refiguring College English Studies,James A. Berlin,Parlor Press LLC,9780972477284,English,6,0
Vm7mhPNrFp2QQmJFXvoCBb,Rewriting: How to Do Things with Texts| Second Edition,Joseph Harris,University Press of Colorado,9781607326878,English,6,0
LddcczX4Jvzk6HYDC3Azwa,Integrated Korean: Beginning 1| Third Edition,Young-mee Cho,University of Hawaii Press,9780824888657,English,0,5.0
PbZhXdVmEivvucRbxN8Ntj,Academic Writing: A Handbook for International Students| Edition 5,Stephen Bailey,Routledge,9781351690577,English,5,0
BT99QmwbVDJssFfE3Tahi4,Business and Professional Writing: A Basic Guide - Second Edition: Edition 2,Paul MacRae,Broadview Press,9781770487062,English,9,5.0
hf28cGwfxZEUkm3p2Rsi82,Garden History Reference Encyclopedia: Historic books etc on garden design and landscape architecture,Tom Turner,Gardenvisit.com,,English,2,3.5
NuZcigC5Gax9Ft4RGUzLuJ,CliffsTestPrep CSET: English,Emily M Hutchinson,Houghton Mifflin Harcourt,9780544185807,English,6,3.0
jUnQsx79R37xnix5ga9vbu,Integrated Korean: Intermediate 1| Third Edition,Young-mee Cho,University of Hawaii Press,9780824889470,English,3,0
U3kMStWfG5Hsag6y6QZhFN,The Handy English Grammar Answer Book,Christine A. Hult,Visible Ink Press,9781578595716,English,1,5.0
3LYLbHePrPqrqLTfBVFVhD,The Least You Should Know about English: Writing Skills| Form B: Edition 11,Paige Wilson,Cengage Learning,9781133713630,English,9,0
YLRoojNcHvGmU5fPpwz5nQ,The Call to Write: Edition 6,John Trimbur,Cengage Learning,9781285630823,English,2,0
T7QRaBh4eqxfPB7KJizf28,Multiliteracies for a Digital Age,Stuart Selber,SIU Press,9780809388684,English,7,0
2v6cTSB4qZy8qKdyWwks8D,Accessing the WAN| CCNA Exploration Companion Guide: Acce WAN CCNA Expl Comp Gd_1,Bob Vachon,Cisco Press,9780132877572,English,6,3.7
cpkFPq3TmQtqgvh75aEeR5,The Least You Should Know About English: Writing Skills: Edition 12,Paige Wilson,Cengage Learning,9781305156227,English,9,0
dGjMiN2gtsttFYmc5mhwtx,Write Moves: A Creative Writing Guide and Anthology,Nancy Pagh,Broadview Press,9781770486249,English,0,0
ayVCdmTQ2ZDTr4ytsGGRGg,Rhetoric and Reality: Writing Instruction in American Colleges| 1900 - 1985,James A. Berlin,SIU Press,9780809386857,English,3,0
S6Y8VjhjXjRjmZkuDFUh4N,Academic Writing and Grammar for Students: Edition 2,Alex Osmond,SAGE,9781473947177,English,5,5.0
KDGcT97q3s4ZbENTaDHPUH,Art of War,Niccolò Machiavelli,University of Chicago Press,9780226500324,English,7,4.0
kcRZNxG8CgGUrFauxhDUTq,The Mechanics of Writing,Dona J. Young,Dog Ear Publishing,9781598588170,English,6,5.0
cNjkxZbmTuqhyE9A2TinMF,The Meaningful Writing Project: Learning| Teaching and Writing in Higher Education,Michele Eodice,University Press of Colorado,9781607325802,English,6,0
UVJHrL2J2XMrJbajP6BLqp,An Introduction to English Grammar: Edition 4,Gerald Nelson,Routledge,9781317518587,English,8,4.4
