,Author,Genre,Title
73, Amy Harmon,historical fiction,Where the Lost Wander by Amy Harmon
74, James   McBride,historical fiction,Deacon King Kong by James   McBride
75, Louise Erdrich,historical fiction,The Night Watchman by Louise Erdrich
76, David Mitchell,historical fiction,Utopia Avenue by David Mitchell
77, Tiffany   McDaniel,historical fiction,Betty by Tiffany   McDaniel
78, Heather B. Moore,historical fiction,The Paper Daughters of Chinatown by Heather B. Moore
79, Lucy Foley,mystery thriller,The Guest List by Lucy Foley
80, Riley Sager,mystery thriller,Home Before Dark by Riley Sager
81, Simone St. James,mystery thriller,The Sun Down Motel by Simone St. James
82, Tarryn Fisher,mystery thriller,The Wives by Tarryn Fisher
83, Tana French,mystery thriller,The Searcher by Tana French
84, Harlan Coben,mystery thriller,The Boy from the Woods by Harlan Coben
85, Stuart Turton,mystery thriller,The Devil and the Dark Water by Stuart Turton
86, Liz Moore,mystery thriller,Long Bright River by Liz Moore
87, Louise Penny,mystery thriller,All the Devils Are Here by Louise Penny
88, Robert Galbraith,mystery thriller,Troubled Blood by Robert Galbraith
89, Jess Lourey,mystery thriller,Unspeakable Things by Jess Lourey
90, David Heska Wanbli Weiden,mystery thriller,Winter Counts by David Heska Wanbli Weiden
91, Megan Goldin,mystery thriller,The Night Swim by Megan Goldin
92, Rachel Howzell Hall,mystery thriller,And Now She's Gone by Rachel Howzell Hall
93, Lisa Unger,mystery thriller,Confessions on the 7 by Lisa Unger
94, Christopher Paolini,science fiction,To Sleep in a Sea of Stars by Christopher Paolini
95, Tamsyn Muir,science fiction,Harrow the Ninth by Tamsyn Muir
96, Martha Wells,science fiction,Network Effect by Martha Wells
97, Hank Green,science fiction,A Beautifully Foolish Endeavor by Hank Green
98, Lindsay  Ellis,science fiction,Axiom's End by Lindsay  Ellis
99, Ken Liu,science fiction,The Hidden Girl and Other Stories by Ken Liu
100, Diane  Cook,science fiction,The New Wilderness by Diane  Cook
101, Lawrence Wright,science fiction,The End of October by Lawrence Wright
102, John Scalzi,science fiction,The Last Emperox by John Scalzi
103, Simon Jimenez,science fiction,The Vanished Birds by Simon Jimenez
104, M.R. Carey,science fiction,The Book of Koli by M.R. Carey
105, Natalie Zina Walschots,science fiction,Hench by Natalie Zina Walschots
106, David  Wong,science fiction,Zoey Punches the Future in the Dick by David  Wong
107, T.A. White,science fiction,Age of Deception by T.A. White
108, Linden A. Lewis,science fiction,The First Sister by Linden A. Lewis
109, David Attenborough,science technology,A Life on Our Planet by David Attenborough
110, Adam Rutherford,science technology,How to Argue With a Racist by Adam Rutherford
111, James Nestor,science technology,Breath by James Nestor
112, Katie  Mack,science technology,The End of Everything by Katie  Mack
113, Sarah Frier,science technology,No Filter by Sarah Frier
114, Christiana Figueres,science technology,The Future We Choose by Christiana Figueres
115, Bonnie Tsui,science technology,Why We Swim by Bonnie Tsui
116, Helen Macdonald,science technology,Vesper Flights by Helen Macdonald
117, Mark Kenyon,science technology,That Wild Country by Mark Kenyon
118, Patrik Svensson,science technology,The Book of Eels by Patrik Svensson
119, Sonia Shah,science technology,The Next Great Migration by Sonia Shah
120, Brian Greene,science technology,Until the End of Time by Brian Greene
121, Michael Shellenberger,science technology,Apocalypse Never by Michael Shellenberger
122, Jonathan C. Slaght,science technology,Owls of the Eastern Ice by Jonathan C. Slaght
123, Neil Shubin,science technology,Some Assembly Required by Neil Shubin
